boundary_after_group,left_line,right_line,physical_relation,sheet_offset,boundary_class,line_final_equals,documented_crossline_example
122,25,25,SAME_PHYSICAL_LINE,717,LEXICAL_BOUNDARY,false,false
123,25,25,SAME_PHYSICAL_LINE,721,LEXICAL_BOUNDARY,false,false
124,25,25,SAME_PHYSICAL_LINE,726,LEXICAL_BOUNDARY,false,false
125,25,25,SAME_PHYSICAL_LINE,732,LEXICAL_BOUNDARY,false,false
126,25,26,CROSS_PHYSICAL_LINE,736,LEXICAL_BOUNDARY,false,false
127,26,26,SAME_PHYSICAL_LINE,745,LEXICAL_BOUNDARY,false,false
128,26,26,SAME_PHYSICAL_LINE,750,LEXICAL_BOUNDARY,false,false
129,26,26,SAME_PHYSICAL_LINE,759,LEXICAL_BOUNDARY,false,false
130,26,27,CROSS_PHYSICAL_LINE,765,LEXICAL_BOUNDARY,false,false
131,27,27,SAME_PHYSICAL_LINE,770,LEXICAL_BOUNDARY,false,false
132,27,27,SAME_PHYSICAL_LINE,777,LEXICAL_BOUNDARY,false,false
133,27,27,SAME_PHYSICAL_LINE,786,LEXICAL_BOUNDARY,false,false
134,27,28,CROSS_PHYSICAL_LINE,794,LEXICAL_BOUNDARY,false,false
135,28,28,SAME_PHYSICAL_LINE,803,LEXICAL_BOUNDARY,false,false
136,28,28,SAME_PHYSICAL_LINE,808,LEXICAL_BOUNDARY,false,false
137,28,28,SAME_PHYSICAL_LINE,820,LEXICAL_BOUNDARY,false,false
138,28,29,CROSS_PHYSICAL_LINE,822,WITHIN_WORD_SPLIT,true,false
139,29,29,SAME_PHYSICAL_LINE,831,LEXICAL_BOUNDARY,false,false
140,29,29,SAME_PHYSICAL_LINE,838,LEXICAL_BOUNDARY,false,false
141,29,29,SAME_PHYSICAL_LINE,841,LEXICAL_BOUNDARY,false,false
142,29,29,SAME_PHYSICAL_LINE,845,LEXICAL_BOUNDARY,false,false
143,29,30,CROSS_PHYSICAL_LINE,851,WITHIN_WORD_SPLIT,true,false
144,30,30,SAME_PHYSICAL_LINE,855,LEXICAL_BOUNDARY,false,false
145,30,30,SAME_PHYSICAL_LINE,865,LEXICAL_BOUNDARY,false,false
146,30,30,SAME_PHYSICAL_LINE,869,LEXICAL_BOUNDARY,false,false
147,30,31,CROSS_PHYSICAL_LINE,879,WITHIN_WORD_SPLIT,true,false
148,31,31,SAME_PHYSICAL_LINE,882,LEXICAL_BOUNDARY,false,false
149,31,31,SAME_PHYSICAL_LINE,886,LEXICAL_BOUNDARY,false,false
150,31,31,SAME_PHYSICAL_LINE,890,LEXICAL_BOUNDARY,false,false
151,31,31,SAME_PHYSICAL_LINE,895,LEXICAL_BOUNDARY,false,false
152,31,31,SAME_PHYSICAL_LINE,900,LEXICAL_BOUNDARY,false,false
153,31,32,CROSS_PHYSICAL_LINE,907,LEXICAL_BOUNDARY,false,false
154,32,32,SAME_PHYSICAL_LINE,910,LEXICAL_BOUNDARY,false,false
155,32,32,SAME_PHYSICAL_LINE,918,LEXICAL_BOUNDARY,false,false
156,32,32,SAME_PHYSICAL_LINE,924,LEXICAL_BOUNDARY,false,false
157,32,32,SAME_PHYSICAL_LINE,926,LEXICAL_BOUNDARY,false,false
158,32,32,SAME_PHYSICAL_LINE,930,LEXICAL_BOUNDARY,false,false
159,32,33,CROSS_PHYSICAL_LINE,936,WITHIN_WORD_SPLIT,true,false
160,33,33,SAME_PHYSICAL_LINE,942,LEXICAL_BOUNDARY,false,false
161,33,33,SAME_PHYSICAL_LINE,946,LEXICAL_BOUNDARY,false,false
162,33,33,SAME_PHYSICAL_LINE,955,LEXICAL_BOUNDARY,false,false
163,33,33,SAME_PHYSICAL_LINE,960,LEXICAL_BOUNDARY,false,false
164,33,34,CROSS_PHYSICAL_LINE,965,LEXICAL_BOUNDARY,false,false
165,34,34,SAME_PHYSICAL_LINE,970,LEXICAL_BOUNDARY,false,false
166,34,34,SAME_PHYSICAL_LINE,975,LEXICAL_BOUNDARY,false,false
167,34,34,SAME_PHYSICAL_LINE,980,LEXICAL_BOUNDARY,false,false
168,34,34,SAME_PHYSICAL_LINE,986,LEXICAL_BOUNDARY,false,false
169,34,35,CROSS_PHYSICAL_LINE,991,LEXICAL_BOUNDARY,false,false
170,35,35,SAME_PHYSICAL_LINE,996,LEXICAL_BOUNDARY,false,false
171,35,35,SAME_PHYSICAL_LINE,1001,LEXICAL_BOUNDARY,false,false
172,35,35,SAME_PHYSICAL_LINE,1008,LEXICAL_BOUNDARY,false,false
173,35,35,SAME_PHYSICAL_LINE,1010,LEXICAL_BOUNDARY,false,false
174,35,36,CROSS_PHYSICAL_LINE,1016,LEXICAL_BOUNDARY,false,false
175,36,36,SAME_PHYSICAL_LINE,1019,LEXICAL_BOUNDARY,false,false
176,36,36,SAME_PHYSICAL_LINE,1024,LEXICAL_BOUNDARY,false,false
177,36,36,SAME_PHYSICAL_LINE,1030,LEXICAL_BOUNDARY,false,false
178,36,36,SAME_PHYSICAL_LINE,1040,LEXICAL_BOUNDARY,false,false
179,36,37,CROSS_PHYSICAL_LINE,1043,WITHIN_WORD_SPLIT,true,false
180,37,37,SAME_PHYSICAL_LINE,1046,LEXICAL_BOUNDARY,false,false
181,37,37,SAME_PHYSICAL_LINE,1054,LEXICAL_BOUNDARY,false,false
182,37,37,SAME_PHYSICAL_LINE,1057,LEXICAL_BOUNDARY,false,false
183,37,37,SAME_PHYSICAL_LINE,1062,LEXICAL_BOUNDARY,false,false
184,37,37,SAME_PHYSICAL_LINE,1067,LEXICAL_BOUNDARY,false,false
185,37,38,CROSS_PHYSICAL_LINE,1072,LEXICAL_BOUNDARY,false,false
186,38,38,SAME_PHYSICAL_LINE,1078,LEXICAL_BOUNDARY,false,false
187,38,38,SAME_PHYSICAL_LINE,1086,LEXICAL_BOUNDARY,false,false
188,38,38,SAME_PHYSICAL_LINE,1093,LEXICAL_BOUNDARY,false,false
